x,y,z,l,w,h,r
1.45,1.64,3.7,2.15,1.7,17.33,-1.57
1.39,1.54,3.86,1.84,1.76,26.57,-1.62
1.43,1.73,4.09,-15.45,1.87,23.18,1.57
1.52,1.67,3.61,-1.79,1.9,38.09,-1.58
1.26,1.6,3.56,-1.79,1.6,65.84,-1.6
1.48,1.64,3.59,-7.17,1.79,23.08,1.57
1.46,1.53,3.17,0.92,1.65,15.14,-1.59
1.46,1.63,4.47,-3.11,1.68,4.99,1.47
1.7,1.82,4.45,-3.5,1.53,16.08,1.6
1.57,1.56,2.62,3.0,1.29,35.87,-1.22
1.41,1.57,3.23,2.59,1.63,49.15,-1.6
1.45,1.61,4.2,6.47,1.62,46.9,-1.62
1.48,1.36,3.51,12.6,1.59,41.05,-2.15
1.49,1.64,3.7,-8.45,1.86,15.05,3.13
1.52,1.55,4.02,-8.22,1.78,17.71,3.13
1.9,1.78,4.25,-8.24,1.94,29.33,-3.12
1.52,1.64,3.7,-7.78,1.89,47.93,-0.01
1.6,1.76,3.84,-0.79,1.05,35.72,-1.59
1.42,1.61,3.56,-4.21,1.61,3.64,-1.56
1.61,1.61,3.68,-8.43,1.5,11.62,-1.58
1.43,1.64,3.99,-4.71,1.49,13.21,-1.57
1.4,1.66,4.07,-8.56,1.39,20.52,-1.58
1.35,1.57,3.72,-4.62,1.33,22.62,-1.57
1.49,1.64,3.95,-5.51,1.22,30.77,-1.58
1.6,1.66,3.82,-12.15,1.42,21.43,-1.58
1.46,1.53,3.17,2.84,1.61,5.14,-1.4
1.52,1.54,4.5,7.15,1.59,23.04,-1.37
1.59,1.45,3.15,-3.9,1.86,15.36,-2.87
1.55,1.63,3.32,-0.22,1.65,19.94,-1.57
1.62,1.85,3.57,-15.48,2.58,20.65,1.56
1.65,1.67,3.64,2.81,1.85,25.6,-1.45
1.47,1.57,4.24,-7.22,1.65,7.56,1.68
1.4,1.68,4.45,-5.55,1.73,22.49,1.68
1.45,1.62,3.77,-4.18,1.87,31.92,1.7
1.53,1.46,4.18,-3.46,1.96,40.58,1.68
1.59,1.57,3.39,-2.53,2.03,49.62,1.69
1.61,1.66,3.2,-0.45,1.76,23.16,-1.57
1.49,1.67,4.38,-6.21,2.08,11.07,1.58
1.43,1.5,3.38,3.29,1.85,57.14,-1.57
1.41,1.69,4.1,18.99,1.33,65.22,-1.55
1.8,1.67,3.62,18.91,1.22,59.66,-1.55
1.48,1.8,4.51,-3.88,1.71,3.09,1.56
1.37,1.64,4.4,-4.16,1.69,10.79,1.52
1.4,1.45,3.3,-4.4,1.69,24.78,1.56
1.4,1.63,3.89,-1.91,1.53,32.12,1.55
1.38,1.33,4.32,-4.62,1.55,47.76,1.56
1.44,1.66,4.53,0.83,2.17,38.19,-1.42
1.43,1.74,3.63,-10.25,2.05,12.71,1.05
1.52,1.55,3.91,9.2,1.3,14.53,1.81
1.62,1.84,4.1,7.34,1.46,16.66,1.79
1.38,1.73,3.97,-9.46,1.87,29.24,-2.01
1.74,1.58,3.9,-1.66,1.58,31.87,-2.93
1.58,1.68,3.76,-23.95,2.34,39.36,1.13
1.77,1.77,5.1,-24.1,2.17,60.67,-1.92
1.35,1.64,3.76,-2.18,1.79,15.56,-2.05
1.45,1.68,4.53,-5.52,1.73,10.75,-0.17
1.47,1.51,3.5,-3.4,1.85,8.16,1.64
1.77,1.75,4.67,4.08,1.44,36.41,-1.28
1.72,1.39,3.07,-8.08,2.53,32.64,-2.44
1.48,1.63,3.98,11.6,1.28,20.35,0.2
1.47,1.52,4.43,10.87,1.17,23.63,0.27
1.6,1.68,3.94,7.45,0.97,46.68,1.86
2.11,2.04,4.62,-5.2,1.23,44.96,1.54
1.79,1.69,4.72,-3.19,1.67,9.49,2.79
1.57,1.65,3.35,7.49,1.56,9.22,-1.08
1.43,1.7,3.95,3.53,1.52,17.84,2.1
1.51,1.6,3.24,13.0,1.49,19.25,-1.07
1.54,1.68,3.79,9.74,1.45,28.08,2.13
1.49,1.52,3.35,12.6,1.33,32.62,2.14
1.41,1.65,4.28,2.09,2.41,43.58,-1.59
1.5,1.46,3.95,-6.36,2.26,27.8,0.07
1.53,1.64,3.6,-6.49,2.18,25.32,-0.02
1.41,1.63,3.75,-6.67,1.96,17.67,3.09
1.47,1.53,4.21,-6.93,1.9,12.82,3.08
1.64,1.62,4.2,2.36,1.71,9.85,-1.64
1.35,1.47,3.43,-2.76,1.68,6.02,1.58
1.69,1.59,3.77,3.0,1.6,2.49,-1.63
1.47,1.74,4.41,-4.7,1.88,4.88,1.56
1.49,1.71,3.58,2.52,1.7,14.77,-1.63
1.39,1.81,3.46,-4.77,1.95,20.7,-1.64
1.47,1.55,3.37,2.04,1.85,24.92,-1.61
1.72,1.8,4.16,-5.14,2.14,30.05,-1.61
1.62,1.66,3.81,-5.92,2.34,43.85,1.56
1.61,1.67,3.62,1.69,2.08,40.69,-1.6
1.33,1.56,3.49,-5.3,1.76,18.78,1.55
1.47,1.72,4.33,-9.02,1.94,12.07,1.48
1.31,1.6,4.09,-9.21,1.91,17.73,1.48
1.43,1.58,3.66,-9.87,1.97,24.64,1.78
1.37,1.56,3.54,3.59,1.57,39.8,-1.44
1.57,1.9,4.16,-14.04,2.32,27.12,1.56
2.21,1.76,4.11,-15.19,1.4,32.57,0.87
1.75,1.57,4.07,-13.78,1.4,35.05,-2.35
1.54,1.71,5.03,-11.01,1.17,36.58,-2.32
1.53,1.41,3.4,-0.91,1.0,44.29,-2.28
1.69,1.61,3.36,1.93,1.0,46.73,-2.39
1.44,1.62,4.26,4.47,1.05,51.23,-2.35
1.48,1.61,2.86,6.68,1.12,52.1,-2.23
1.41,1.5,3.48,8.59,1.04,52.83,-2.29
1.48,1.48,4.41,10.72,0.97,54.12,0.93
1.5,1.67,3.84,17.27,0.79,59.83,0.73
1.41,1.57,3.36,19.39,0.67,61.62,0.79
1.47,1.63,4.11,-9.02,1.9,11.56,1.59
1.8,1.61,3.83,-8.81,1.91,18.29,1.59
1.45,1.45,3.4,-8.61,1.95,23.36,1.68
1.75,1.71,4.31,-8.47,1.99,28.19,1.61
1.53,1.66,4.01,-7.87,2.05,37.81,1.62
1.48,1.6,3.9,-7.54,2.01,42.99,1.63
1.44,1.56,3.84,-2.97,1.7,3.48,1.52
1.5,1.55,4.21,-3.56,1.72,20.4,-1.67
1.82,1.65,3.67,1.63,1.68,20.58,-1.61
1.42,1.57,4.1,-4.3,1.79,34.04,1.49
1.78,1.59,4.33,2.83,1.62,4.41,-1.57
1.53,1.57,3.87,2.82,1.62,9.66,1.53
1.45,1.61,3.34,2.01,1.64,18.4,-1.73
1.34,1.69,3.6,-5.98,1.83,21.06,-1.7
1.69,1.59,3.77,0.9,1.62,25.44,-1.78
1.49,1.71,3.58,-1.63,1.93,37.49,-1.77
1.44,1.68,4.39,-1.75,1.76,30.61,1.69
1.46,1.63,4.47,-1.56,1.61,27.64,1.6
1.7,1.82,4.45,-0.73,1.43,38.86,1.72
1.57,1.56,2.62,1.27,1.31,49.52,-0.25
1.47,1.68,4.26,-5.66,1.51,14.78,3.12
1.61,1.66,3.2,-0.46,1.83,23.04,-1.57
1.49,1.67,4.38,-6.22,2.04,5.04,1.55
1.43,1.5,3.38,3.25,2.1,54.18,-1.57
1.41,1.69,4.1,18.99,1.55,62.27,-1.55
1.8,1.67,3.62,18.93,1.39,56.65,-1.55
1.61,1.66,3.2,-0.65,1.83,25.38,-1.58
1.4,1.51,3.7,-7.19,2.1,29.22,1.56
1.46,1.66,4.05,-4.29,2.03,39.81,1.57
1.57,1.67,4.14,-3.95,1.72,7.04,1.55
1.41,1.57,3.16,2.88,1.5,2.67,-1.5
1.53,1.56,3.58,-5.99,2.04,7.19,1.59
1.42,1.54,3.5,-6.24,2.09,29.78,1.56
1.51,1.75,3.78,2.83,1.62,33.32,-1.57
1.36,1.51,4.02,-6.22,2.04,35.23,1.58
1.74,1.65,4.11,-6.13,2.15,43.57,1.57
1.43,1.8,3.96,-25.92,3.15,37.54,-1.57
1.4,1.6,3.97,-23.46,3.02,37.57,-1.57
1.49,1.7,4.51,-20.84,2.86,36.98,-1.56
1.5,1.56,4.45,-18.33,2.9,37.19,-1.57
1.57,1.56,2.62,0.83,1.76,29.78,-1.54
1.43,1.68,4.19,-3.73,1.85,21.27,1.63
1.46,1.59,4.27,-3.54,1.81,28.06,1.55
1.38,1.62,4.06,-3.6,1.73,39.92,1.61
1.49,1.53,3.88,-3.62,1.54,55.22,1.63
1.36,1.69,3.38,0.48,1.51,21.44,-1.54
1.48,1.56,3.72,-4.62,1.55,6.03,-2.39
1.4,1.6,3.55,-4.06,1.58,15.36,-2.52
1.46,1.49,3.4,-4.47,1.56,23.42,-2.34
1.43,1.62,3.47,-4.24,1.47,26.43,-2.43
1.37,1.55,3.96,-4.25,1.41,34.11,-2.36
1.66,1.72,4.41,4.07,1.5,4.42,-1.58
1.41,1.61,3.71,4.19,1.68,11.13,-1.58
1.36,1.59,3.85,4.15,1.67,16.49,-1.57
1.72,1.79,3.94,4.32,1.62,21.8,-1.58
1.7,1.77,4.06,9.67,1.65,33.43,-0.09
1.41,1.58,3.9,-7.91,1.51,13.67,1.7
1.44,1.58,3.25,-7.99,1.5,18.84,1.73
1.52,1.67,3.61,0.62,1.52,35.52,-1.55
1.38,1.59,3.54,-8.15,1.52,8.95,1.57
1.45,1.47,3.52,-8.19,1.5,23.35,1.55
1.53,1.53,3.45,-13.98,1.58,19.04,1.57
1.68,1.69,4.07,-6.4,1.69,7.59,-3.08
2.04,1.99,4.82,11.17,1.28,21.07,-1.53
1.49,1.56,3.88,13.89,1.15,21.83,-1.55
1.48,1.56,4.12,-6.39,1.67,12.5,3.14
1.51,1.59,3.5,-6.67,1.61,15.26,3.11
1.74,1.75,4.57,-6.51,1.56,17.53,-3.14
1.72,1.68,4.02,-6.02,1.55,23.86,0.11
1.41,1.42,4.27,-6.04,1.54,25.89,-3.13
1.48,1.86,4.18,4.66,1.01,37.59,0.07
1.47,1.43,3.11,-4.3,1.82,30.41,1.58
1.71,1.44,4.06,-20.95,1.88,34.16,1.61
1.53,1.67,3.88,-21.18,1.84,40.9,1.58
1.68,1.39,4.26,23.34,2.69,28.8,3.08
1.53,1.47,4.05,-20.49,2.02,46.06,1.6
1.41,1.48,4.93,-4.28,1.84,52.9,1.58
1.62,1.63,4.5,-0.4,1.75,25.92,-1.57
1.46,1.31,4.15,-20.99,1.68,27.85,1.63
1.55,1.54,3.06,-8.34,1.93,15.6,1.55
1.33,1.56,3.49,-4.97,1.75,37.1,1.58
1.47,1.72,4.33,-8.78,1.88,20.67,1.49
1.31,1.6,4.09,-8.87,1.85,26.41,1.5
1.43,1.58,3.66,-9.32,1.94,33.2,1.8
1.37,1.56,3.54,4.06,1.55,46.06,-1.42
1.61,1.66,3.2,0.81,1.75,23.91,-1.47
1.44,1.61,3.66,-1.26,1.81,53.83,1.74
1.41,1.53,3.37,-3.67,1.91,56.46,1.74
1.48,1.71,3.54,-13.25,2.11,22.06,1.58
1.56,1.91,4.44,-15.83,2.21,55.62,1.6
1.57,1.67,4.14,-1.78,0.88,41.2,1.64
1.51,1.53,3.38,2.7,1.45,8.49,-1.7
1.39,1.54,3.42,0.72,1.22,23.3,-1.78
1.56,1.39,3.73,-1.7,0.87,38.41,2.47
1.56,1.67,3.78,4.49,0.92,35.01,-0.74
1.5,1.53,4.04,7.81,0.78,37.92,-0.76
1.38,1.28,3.16,11.45,0.66,40.78,-0.7
1.7,1.7,4.46,14.91,0.75,43.94,-0.76
1.55,1.39,3.55,-21.68,1.74,30.72,-1.57
1.72,1.76,3.14,-26.61,1.36,40.54,-1.26
1.62,1.63,4.5,-0.43,1.61,21.74,-1.59
1.7,1.64,2.85,-27.23,1.34,51.78,1.55
1.61,1.66,3.2,-0.63,1.66,24.37,-1.59
1.4,1.51,3.7,-7.94,1.43,78.01,1.56
1.45,1.6,4.23,3.72,1.95,36.93,-0.03
1.8,1.61,3.83,-8.92,1.9,14.65,1.57
1.45,1.45,3.4,-8.76,1.95,19.7,1.68
1.75,1.71,4.31,-8.66,1.96,24.49,1.6
1.53,1.66,4.01,-8.18,1.99,34.22,1.61
1.48,1.6,3.9,-7.84,1.98,39.4,1.62
1.44,1.52,3.5,-8.36,1.83,35.47,3.12
1.59,1.52,3.47,-8.45,1.66,40.84,3.14
1.55,1.57,3.51,4.03,1.13,19.88,-0.09
1.47,1.74,3.88,4.51,1.33,9.11,-0.09
1.68,1.67,3.79,-7.72,1.15,10.23,-0.13
1.43,1.6,4.04,-7.84,1.24,12.76,3.08
1.53,1.72,4.15,-8.06,1.13,15.62,-0.01
1.52,1.57,4.01,-8.11,0.9,20.64,3.06
1.48,1.63,3.43,3.64,1.08,22.29,-0.13
1.66,1.66,3.98,-10.81,0.05,58.49,-2.05
1.41,1.59,4.47,-1.32,1.98,52.41,1.54
1.56,1.65,3.69,0.59,1.73,13.36,-1.56
1.54,1.72,3.88,5.1,1.61,20.47,-0.76
1.52,1.49,3.46,5.13,1.81,31.25,-0.78
1.39,1.61,3.65,4.94,1.81,37.98,-0.76
1.45,1.58,3.42,-7.02,1.96,14.95,1.59
1.34,1.57,4.01,-10.39,1.99,15.0,1.59
1.52,1.65,4.1,-5.4,2.08,44.44,1.64
1.6,1.6,3.77,-2.67,2.14,60.65,1.74
1.61,1.7,3.97,0.07,2.11,76.69,1.75
1.45,1.65,4.63,-9.89,2.1,31.35,1.62
1.81,1.59,3.93,-9.8,2.2,37.53,1.6
1.56,1.62,4.19,-8.92,2.17,47.68,1.72
1.42,1.67,4.53,-6.6,2.31,60.58,1.89
1.47,1.48,3.21,-14.42,1.99,29.85,1.71
1.47,1.78,4.34,-20.4,2.12,40.57,1.9
1.5,1.7,3.77,0.78,1.77,43.0,1.75
1.53,1.59,3.64,-4.35,1.72,66.65,-1.74
1.26,1.6,3.56,-0.64,1.56,23.48,-1.6
1.37,1.63,3.57,-3.6,1.59,32.95,-1.6
1.64,1.93,3.52,-14.45,1.81,36.05,1.45
1.42,1.58,3.11,-16.13,1.9,52.74,1.49
1.68,1.63,3.9,-3.41,2.56,44.5,1.46
1.54,1.63,3.67,5.31,2.26,46.59,-1.38
1.56,1.59,3.69,-6.45,2.13,18.04,1.73
1.93,1.59,4.01,-5.74,2.22,22.75,1.72
1.58,1.67,3.84,4.42,1.91,26.33,-1.5
2.05,1.5,3.83,5.2,1.97,31.07,-1.36
1.56,1.65,3.69,2.44,1.55,19.07,-1.45
1.76,1.58,3.68,-3.49,1.75,20.47,1.76
1.56,1.62,4.19,-8.7,1.87,14.17,1.75
1.42,1.67,4.53,-5.94,1.83,26.81,1.89
1.54,1.63,3.74,11.5,1.2,42.19,-0.5
1.45,1.5,4.53,-12.93,1.92,13.53,1.74
1.39,1.52,3.56,-3.63,1.37,28.5,1.6
1.46,1.59,3.35,-3.51,1.65,8.92,1.56
1.47,1.6,3.66,-2.96,1.62,5.1,-1.58
1.7,1.63,4.08,-3.12,1.61,24.87,1.65
1.59,1.59,2.47,2.34,1.62,12.6,-1.55
1.37,1.59,3.22,2.39,1.61,17.43,-1.5
1.4,1.67,3.72,-2.88,1.6,32.69,-1.53
1.49,1.61,3.74,2.35,1.55,49.71,1.59
1.59,1.63,4.43,-7.24,1.51,18.61,-3.14
1.54,1.64,4.08,-2.68,1.67,5.39,1.69
1.46,1.57,3.58,2.42,1.6,0.39,-1.55
1.58,1.67,3.43,2.85,1.63,4.86,-1.55
1.84,1.94,3.68,13.96,1.03,13.35,-1.86
1.51,1.61,3.57,-3.58,1.67,14.37,1.56
1.5,1.6,4.17,-3.38,1.66,19.52,1.64
1.71,1.62,3.56,11.66,1.28,23.5,2.49
1.52,1.58,3.28,9.64,1.25,24.86,2.5
1.55,1.47,2.97,9.2,1.23,27.5,2.53
1.55,1.43,3.49,9.59,1.35,30.74,2.61
1.58,1.68,3.93,3.44,1.7,26.02,-1.56
1.58,1.54,3.98,-2.88,1.64,30.69,1.69
1.71,1.67,3.7,9.21,1.14,45.13,-3.08
1.63,1.81,4.54,-2.61,1.69,8.56,-1.6
1.47,1.54,3.02,3.32,1.58,5.0,-1.35
1.42,1.58,4.08,-5.74,1.75,8.67,1.5
1.5,1.52,4.12,5.87,1.59,10.14,-0.81
1.45,1.74,4.1,3.82,1.61,5.99,-1.52
1.54,1.68,3.79,-3.57,1.63,6.74,1.58
1.49,1.52,3.35,-3.39,1.7,12.13,1.61
1.53,1.65,4.37,3.94,1.65,12.78,-1.56
1.74,1.65,4.18,-3.31,1.72,19.64,1.6
1.64,1.45,3.48,-1.67,1.72,26.49,1.85
1.61,1.68,4.04,4.34,1.68,20.26,-1.44
1.54,1.64,4.08,3.56,1.61,36.86,2.06
1.53,1.66,4.01,-9.08,2.03,12.99,1.58
1.48,1.6,3.9,-9.02,1.99,18.17,1.59
1.61,1.67,4.56,-8.94,2.03,37.98,1.59
1.6,1.76,3.84,-1.31,1.25,33.6,-1.62
1.58,1.68,3.95,-3.22,1.62,2.88,-1.61
1.39,1.5,3.4,-3.97,1.56,10.58,-1.58
1.43,1.62,4.08,-8.01,1.57,10.71,-1.59
1.39,1.5,4.04,-12.99,1.51,14.71,-1.59
1.45,1.54,3.59,-8.78,1.47,17.33,-1.59
1.45,1.8,3.73,-12.86,1.48,23.42,-1.61
1.48,1.64,3.82,-8.86,1.34,33.23,-1.6
1.5,1.51,3.42,-12.93,1.29,31.56,-1.58
1.46,1.67,4.92,-5.2,1.78,8.24,1.57
1.42,1.73,4.41,-4.31,1.75,26.7,1.67
1.51,1.84,4.1,3.53,1.57,28.6,-1.49
1.76,1.77,4.41,4.23,1.32,67.28,1.93
1.48,1.62,3.21,-3.24,1.77,19.01,1.58
1.55,1.51,3.75,-3.27,2.01,50.69,1.59
1.92,1.58,3.93,-20.36,2.27,55.29,1.58
1.62,1.63,4.5,0.09,1.84,31.24,-1.57
1.7,1.63,4.08,-3.01,1.67,4.4,1.57
1.4,1.67,3.72,-3.05,1.74,12.33,-1.55
1.49,1.61,3.74,1.85,1.94,29.17,1.53
1.45,1.59,4.28,-8.99,1.76,34.22,1.72
1.43,1.59,4.21,6.51,1.57,43.03,-1.45
1.59,1.64,4.08,29.46,0.98,71.28,-2.81
1.83,1.69,4.44,2.82,1.6,4.71,-1.54
1.61,1.62,3.78,3.04,1.65,10.03,-1.5
1.86,1.57,3.83,-4.19,1.95,36.64,1.58
1.5,1.46,3.7,-4.96,1.88,14.03,1.58
1.65,1.61,3.73,-5.11,1.86,6.86,1.59
1.43,1.59,4.21,3.56,1.64,3.66,-1.55
1.41,1.59,4.01,-8.64,1.69,17.29,1.77
1.59,1.64,4.08,0.09,1.53,32.33,2.52
1.46,1.64,4.63,12.03,1.28,36.49,-3.12
1.49,1.59,3.46,-0.66,1.59,39.01,-0.72
1.5,1.62,3.67,-14.47,1.82,32.99,0.12
1.45,1.3,4.04,-2.54,1.76,63.16,1.77
1.5,1.44,3.69,-6.0,1.86,62.98,1.82
1.65,1.67,3.81,-3.17,1.8,6.11,-1.59
1.53,1.58,3.53,2.93,1.65,6.84,-1.63
1.46,1.6,3.71,2.77,1.72,20.18,-1.55
1.58,1.65,3.91,-4.2,2.44,69.37,-1.55
1.4,1.61,4.37,4.69,1.87,23.74,-1.51
1.62,1.66,3.81,-5.04,1.85,14.56,1.56
1.46,1.67,4.92,-5.65,1.79,30.75,1.57
1.51,1.84,4.1,2.83,1.6,51.48,-1.51
1.61,1.67,3.62,2.59,1.61,11.09,-1.58
1.48,1.56,3.62,-2.04,0.61,57.62,-1.43
1.5,1.62,3.88,-1.84,1.09,30.42,-1.13
1.48,1.7,4.5,-7.74,1.28,23.24,-0.73
1.68,1.67,4.29,-12.65,1.15,38.43,1.73
1.65,1.67,3.64,0.34,1.93,46.09,-1.58
1.33,1.46,3.87,-9.64,1.94,11.12,1.57
1.63,1.5,3.83,-12.26,2.07,20.12,1.58
1.46,1.58,4.32,-10.66,2.21,50.14,1.58
1.64,1.45,3.48,-4.0,1.66,3.99,1.61
1.52,1.58,4.28,2.84,1.43,4.2,-1.52
1.54,1.64,4.08,-0.7,1.58,15.09,1.86
1.46,1.57,3.58,3.48,1.56,9.35,-1.37
1.58,1.67,3.43,4.73,1.53,13.88,-1.38
1.84,1.94,3.68,17.06,0.98,20.31,-1.72
1.5,1.6,4.17,1.04,1.41,29.17,1.82
1.58,1.68,3.93,8.92,1.3,34.44,-1.39
1.58,1.54,3.98,3.57,1.28,40.25,1.86
1.37,1.54,3.56,2.84,1.36,19.01,-1.59
1.57,1.61,3.42,-3.48,1.65,2.32,-1.56
1.46,1.66,4.04,2.25,1.01,46.44,-1.6
1.47,1.61,4.16,-3.73,1.52,10.01,-1.57
1.4,1.53,3.74,-8.07,1.47,13.36,-1.57
1.52,1.58,3.56,-4.41,1.35,22.36,-1.56
1.41,1.52,3.8,-8.49,1.37,23.42,-1.57
1.36,1.61,3.76,-4.59,1.2,35.25,-1.58
1.37,1.59,3.89,-4.44,1.09,46.01,-1.59
1.58,1.68,3.95,-0.43,1.16,42.45,-1.57
1.44,1.62,3.91,-12.2,1.71,26.14,-3.0
1.41,1.51,3.45,2.82,1.72,12.82,-1.68
1.44,1.64,4.01,-6.42,1.74,8.76,-3.12
1.52,1.54,3.63,-6.4,1.77,11.24,0.07
1.43,1.6,3.78,-6.74,1.79,13.35,3.14
1.48,1.59,3.64,-6.5,1.81,15.64,-3.1
1.42,1.63,4.15,2.35,1.79,22.6,-1.64
1.47,1.65,4.15,-6.11,1.9,26.21,0.03
1.35,1.58,4.05,2.57,1.8,33.36,-1.63
1.53,1.5,3.61,-6.73,1.93,28.83,3.12
1.7,1.61,3.21,-6.88,1.78,31.12,3.13
1.76,1.71,4.35,2.44,1.93,52.81,-1.6
1.66,1.67,4.49,-3.73,1.72,19.35,1.56
1.56,1.72,3.09,-20.16,1.97,40.53,-1.57
1.46,1.59,4.12,-4.11,1.76,38.99,1.58
1.57,1.57,3.32,-20.22,1.95,58.59,-1.53
1.57,1.2,5.24,-19.92,1.88,63.68,1.59
1.72,1.66,4.32,-4.19,1.87,57.92,1.56
1.62,1.63,4.5,-0.24,1.73,34.07,-1.56
1.65,1.67,3.64,-0.33,1.89,48.24,-1.59
1.72,1.68,4.02,-6.19,1.69,10.23,0.07
1.41,1.42,4.27,-6.11,1.62,12.45,3.11
1.5,1.65,4.14,-6.71,1.65,7.19,-3.14
1.38,1.66,4.38,-5.21,1.59,28.54,0.04
1.69,1.73,4.3,13.63,1.56,15.63,1.54
1.48,1.86,4.18,4.61,1.63,24.18,0.06
1.74,1.66,4.37,4.59,1.67,27.51,-0.0
1.42,1.45,3.2,3.07,1.66,34.5,-1.61
1.38,1.49,3.32,3.13,1.64,10.46,-1.61
1.43,1.48,3.25,7.14,1.63,31.6,-1.61
1.44,1.56,3.96,7.45,1.62,18.79,-1.65
1.85,1.68,4.34,4.89,1.58,6.76,3.1
1.43,1.56,3.85,-6.94,1.8,8.64,3.12
1.42,1.62,3.5,-7.3,1.85,15.76,3.04
1.41,1.54,3.6,-7.48,1.81,27.77,3.08
1.6,1.76,3.84,1.02,1.4,18.11,-1.5
1.43,1.64,4.33,-4.37,1.58,7.49,-1.57
1.33,1.57,3.88,-8.22,1.43,16.86,-1.56
1.37,1.59,3.99,-12.35,1.52,16.68,-1.58
1.39,1.56,3.45,4.71,1.3,42.57,-1.33
1.41,1.66,3.76,12.81,1.25,64.98,-1.05
1.68,1.63,3.9,-4.99,1.96,27.84,1.37
1.47,1.7,4.39,-8.4,1.99,42.1,1.26
1.5,1.59,3.6,-5.15,0.93,22.52,1.36
1.36,1.57,4.06,-6.27,0.74,31.48,1.44
1.5,1.7,4.45,-11.49,0.2,68.13,-2.3
1.56,1.65,3.69,3.83,1.55,19.04,-1.42
1.76,1.58,3.68,-4.14,1.79,9.24,1.76
1.56,1.62,4.19,-8.2,1.88,10.16,1.75
1.42,1.67,4.53,-4.92,1.82,22.77,1.86
1.54,1.63,3.74,16.89,0.97,38.38,-0.18
1.45,1.62,3.83,-5.58,1.77,35.37,1.52
1.57,1.67,4.14,-1.01,1.43,36.16,1.65
1.51,1.69,4.04,3.45,1.53,5.88,-1.1
1.46,1.58,3.93,1.71,1.57,9.99,-1.77
1.5,1.68,4.03,-6.93,1.94,11.88,1.42
1.6,1.7,3.56,0.3,1.59,16.85,-1.76
1.52,1.73,3.89,-0.92,1.62,21.8,-1.81
1.44,1.6,3.79,-8.9,2.06,22.04,1.31
1.42,1.51,3.71,-10.36,1.96,27.66,1.33
1.37,1.51,3.49,-2.17,1.56,26.87,-1.79
1.5,1.78,3.69,-3.17,1.67,3.35,-1.57
1.45,1.75,4.23,-6.26,1.11,32.38,1.2
1.56,1.65,3.69,0.22,1.73,29.86,-1.58
1.56,1.7,4.41,-10.57,1.82,12.6,1.57
1.53,1.57,3.54,4.58,1.48,8.42,-0.76
1.5,1.64,3.99,4.9,1.51,12.0,-0.73
1.4,1.65,4.18,4.31,1.51,15.48,-0.83
1.59,1.65,3.94,4.11,1.55,18.82,-0.83
1.48,1.73,4.06,4.44,1.55,22.45,-0.78
1.63,1.61,3.96,4.38,1.61,26.03,-0.69
1.38,1.47,3.62,-6.42,1.99,60.14,1.6
1.4,1.63,4.05,4.34,1.54,50.72,-0.78
1.67,1.68,4.49,-10.77,2.05,71.19,1.59
1.44,1.7,3.65,-3.29,1.87,16.51,1.6
1.55,1.66,4.15,2.88,1.66,16.95,-1.58
1.47,1.7,4.65,8.22,1.29,9.69,-3.14
1.91,1.81,4.33,8.29,1.19,12.89,-3.14
1.63,1.61,3.81,-6.08,1.94,21.33,-1.56
1.43,1.57,3.48,-6.1,1.94,10.29,1.57
1.63,1.67,4.32,8.23,1.26,19.02,-3.13
1.53,1.68,3.86,-6.01,1.93,32.61,1.57
1.66,1.74,3.65,2.75,1.62,2.5,-1.57
1.36,1.55,3.87,2.75,1.52,8.45,-1.6
1.62,1.48,3.36,2.69,1.57,17.56,-1.61
1.55,1.7,4.09,-6.19,1.62,16.2,0.06
1.95,1.67,3.35,-6.79,1.59,21.23,3.13
1.43,1.49,3.56,-5.99,1.52,26.6,0.01
1.53,1.6,3.62,-5.66,1.52,28.88,0.01
2.08,1.8,4.37,-6.9,1.35,48.27,-0.02
1.38,1.49,3.38,2.64,1.49,31.26,-1.6
1.41,1.56,4.08,2.33,1.23,65.1,-1.62
2.21,1.76,4.11,-2.7,1.39,44.51,1.21
1.75,1.57,4.07,-0.54,1.42,46.36,-2.03
1.54,1.71,5.03,2.62,1.2,46.97,-2.01
1.53,1.41,3.4,14.5,1.11,51.14,-1.94
1.69,1.61,3.36,18.07,1.05,52.63,-2.08
1.45,1.62,3.83,-17.57,2.42,40.02,1.19
1.48,1.71,3.54,-13.25,2.22,39.24,1.6
1.56,1.91,4.44,-15.95,2.42,75.5,1.59
1.6,1.53,4.18,2.76,1.7,6.75,-1.6
1.56,1.57,3.98,2.56,1.74,12.63,-1.61
1.61,1.57,3.35,-8.59,1.91,34.95,-3.12
1.79,1.72,4.35,5.25,1.52,48.43,1.51
1.45,1.49,4.07,-2.4,1.82,49.79,1.54
1.77,1.71,4.28,-3.52,1.72,5.54,1.55
1.45,1.71,3.93,3.49,1.55,14.24,-1.6
1.73,1.65,3.96,-3.4,1.74,14.56,1.56
1.78,1.89,4.37,3.31,1.51,20.36,-1.63
1.68,1.51,3.29,-3.36,1.71,19.32,1.53
1.86,1.67,4.13,-4.99,1.82,46.65,1.56
1.36,1.69,3.38,0.46,1.75,20.99,-1.54
1.41,1.64,3.61,-4.68,1.52,6.34,-2.47
1.39,1.61,4.09,-4.51,1.64,9.34,-2.53
1.5,1.57,3.54,-4.08,1.67,16.66,-2.34
